,limite,cuenta_corriente,escolaridad,estado_civil,edad,valor_factura,valor_pago,moroso,iu,rango_edad
64,6022,No,1.Colegio,Soltero/a,44,2500.0333,0.0,1,0.41515,40-50
65,60220,No,3.Pos-graduacion,Casado/a,53,42387.0514,1896.93,0,0.70387,50+
66,48176,Si,2.Universidad,Casado/a,37,482.3622,482.3622,0,0.010012499999999999,30-40
67,18066,Si,2.Universidad,Soltero/a,23,14106.535,583.2307,0,0.7808333333333334,20-30
68,27099,No,2.Universidad,Soltero/a,35,25893.3956,1090.2831,0,0.9555111111111111,30-40
69,108396,No,3.Pos-graduacion,Casado/a,43,2505.7542,2505.7542,0,0.023116666666666664,40-50
70,45165,No,3.Pos-graduacion,Soltero/a,27,25927.1188,1213.7341,0,0.5740533333333333,20-30
71,15055,Si,1.Colegio,Casado/a,22,5467.976,424.8521,0,0.36319999999999997,20-30
72,6022,No,2.Universidad,Casado/a,38,5831.4037,511.5689,0,0.9683499999999999,30-40
73,42154,No,3.Pos-graduacion,Soltero/a,32,3074.8332,3074.8332,0,0.07294285714285714,30-40
74,144528,No,3.Pos-graduacion,Casado/a,63,129877.0762,4841.0858,0,0.8986291666666666,50+
75,15055,Si,1.Colegio,Soltero/a,22,12722.6794,532.0437,0,0.84508,20-30
76,18066,Si,2.Universidad,Soltero/a,26,16623.1288,0.0,1,0.9201333333333332,20-30
77,24088,Si,2.Universidad,Casado/a,36,861.4471,861.4471,0,0.035762499999999996,30-40
78,105385,No,3.Pos-graduacion,Soltero/a,52,684.0992,684.0992,0,0.006491428571428572,50+
79,99363,Si,3.Pos-graduacion,Casado/a,31,32648.5741,2788.186,0,0.3285787878787879,30-40
80,15055,No,1.Colegio,Casado/a,47,4432.7942,602.2,0,0.29444000000000004,40-50
81,84308,No,2.Universidad,Casado/a,41,41711.9852,1957.15,0,0.4947571428571429,40-50
82,30110,Si,3.Pos-graduacion,Soltero/a,24,15865.5612,602.2,0,0.52692,20-30
83,15055,No,2.Universidad,Soltero/a,41,5809.4234,403.474,0,0.38588,40-50
84,9033,No,3.Pos-graduacion,Soltero/a,24,5304.7798,0.0,1,0.5872666666666667,20-30
85,72264,No,3.Pos-graduacion,Soltero/a,28,98.1586,98.1586,0,0.0013583333333333334,20-30
86,24088,No,2.Universidad,Soltero/a,26,4664.9423,602.2,0,0.1936625,20-30
87,120440,No,2.Universidad,Casado/a,34,2910.4326,2910.4326,0,0.024165000000000002,30-40
88,72264,Si,2.Universidad,Soltero/a,38,15490.0895,602.2,0,0.21435416666666668,30-40
89,15055,No,1.Colegio,Soltero/a,37,13843.3736,301.1,0,0.91952,30-40
90,6022,No,3.Pos-graduacion,Soltero/a,27,5709.4582,422.7444,0,0.9481,20-30
91,60220,No,1.Colegio,Soltero/a,52,29968.483,1074.3248,0,0.49765,50+
92,54198,No,3.Pos-graduacion,Casado/a,36,35054.6642,1401.6205,0,0.6467888888888889,30-40
93,15055,No,2.Universidad,Casado/a,51,1173.9889,301.1,0,0.07798000000000001,50+
94,9033,Si,3.Pos-graduacion,Soltero/a,23,1699.7095,1699.7095,0,0.18816666666666665,20-30
95,72264,No,3.Pos-graduacion,Soltero/a,41,789.4842,789.4842,0,0.010925,40-50
96,126462,No,2.Universidad,Casado/a,34,74595.4173,2933.9184,0,0.5898642857142857,30-40
97,99363,No,1.Colegio,Casado/a,46,68867.2909,2472.031,0,0.6930878787878788,40-50
98,9033,Si,2.Universidad,Soltero/a,22,7872.2595,602.2,0,0.8715,20-30
99,72264,No,2.Universidad,Casado/a,34,3623.7385,451.65,0,0.050145833333333334,30-40
100,45165,No,3.Pos-graduacion,Soltero/a,27,5823.8762,752.75,0,0.12894666666666665,20-30
101,63231,Si,2.Universidad,Casado/a,33,2407.8967,451.65,0,0.038080952380952375,30-40
102,15055,Si,1.Colegio,Casado/a,51,90.33,90.33,0,0.006,50+
103,15055,No,2.Universidad,Soltero/a,23,3261.8163,301.1,0,0.21666,20-30
104,51187,No,2.Universidad,Soltero/a,29,3011.0,3011.0,0,0.058823529411764705,20-30
105,6022,No,3.Pos-graduacion,Soltero/a,29,4692.9446,4692.9446,0,0.7793,20-30
106,15055,No,3.Pos-graduacion,Soltero/a,28,1780.4043,301.1,0,0.11825999999999999,20-30
107,51187,Si,2.Universidad,Soltero/a,27,6116.2443,500.1271,0,0.11948823529411766,20-30
108,60220,No,3.Pos-graduacion,Soltero/a,34,53051.4112,2408.8,0,0.8809600000000001,30-40
109,24088,Si,2.Universidad,Casado/a,23,3168.1742,496.815,0,0.131525,20-30
110,42154,No,2.Universidad,Casado/a,32,23528.5562,1040.3005,0,0.5581571428571428,30-40
111,24088,No,3.Pos-graduacion,Soltero/a,25,16784.5184,9033.0,0,0.6968000000000001,20-30
112,105385,No,3.Pos-graduacion,Soltero/a,41,874.9966,874.9966,0,0.008302857142857143,40-50
113,84308,Si,2.Universidad,Casado/a,56,54905.585,2421.4462,0,0.65125,50+
114,9033,Si,1.Colegio,Soltero/a,26,3133.2466,511.87,0,0.34686666666666666,20-30
115,42154,No,3.Pos-graduacion,Casado/a,34,8445.5539,1505.5,0,0.20035000000000003,30-40
116,60220,Si,3.Pos-graduacion,Soltero/a,37,30974.157,1204.4,0,0.51435,30-40
117,60220,Si,1.Colegio,Soltero/a,30,59058.6573,2198.03,0,0.980715,20-30
118,63231,No,1.Colegio,Casado/a,45,37006.3944,3154.9258,0,0.5852571428571428,40-50
119,15055,No,1.Colegio,Casado/a,57,3722.1982,0.0,1,0.24724,50+
120,9033,No,3.Pos-graduacion,Soltero/a,41,8266.0983,1053.85,0,0.9150999999999999,40-50
121,15055,No,2.Universidad,Soltero/a,27,117.429,117.429,0,0.0078000000000000005,20-30
122,87319,No,1.Colegio,Casado/a,47,119.2356,119.2356,0,0.0013655172413793103,40-50
123,75275,Si,3.Pos-graduacion,Casado/a,34,47229.9438,5417.9934,0,0.627432,30-40
124,18066,Si,2.Universidad,Casado/a,46,7167.0833,903.3,0,0.39671666666666666,40-50
125,33121,Si,3.Pos-graduacion,Soltero/a,27,31553.7745,1656.05,0,0.9526818181818182,20-30
126,111407,No,3.Pos-graduacion,Soltero/a,50,4555.643,4555.643,0,0.04089189189189189,40-50
127,27099,Si,2.Universidad,Casado/a,35,22237.4394,1053.85,0,0.8206,30-40
128,15055,Si,2.Universidad,Soltero/a,22,8759.6012,454.661,0,0.5818399999999999,20-30
129,81297,No,2.Universidad,Soltero/a,37,10055.8367,1505.5,0,0.12369259259259259,30-40
130,15055,Si,2.Universidad,Soltero/a,22,4598.7003,4516.5,0,0.30546,20-30
131,39143,No,1.Colegio,Casado/a,56,19865.9758,903.3,0,0.507523076923077,50+
132,24088,No,3.Pos-graduacion,Soltero/a,30,30.11,30.11,0,0.00125,20-30
133,15055,No,2.Universidad,Soltero/a,30,14392.8811,0.0,1,0.95602,20-30
134,6022,Si,2.Universidad,Soltero/a,22,3800.4842,364.9332,0,0.6311,20-30
135,72264,No,3.Pos-graduacion,Soltero/a,37,8002.6358,4516.5,0,0.11074166666666667,30-40
136,24088,Si,1.Colegio,Soltero/a,35,3737.2532,3737.2532,0,0.15515,30-40
137,150550,Si,3.Pos-graduacion,Casado/a,47,33306.4776,21080.011,0,0.22123199999999998,40-50
138,18066,Si,2.Universidad,Casado/a,24,17430.9801,752.75,0,0.96485,20-30
139,6022,No,2.Universidad,Soltero/a,25,3515.9447,361.32,0,0.58385,20-30
140,30110,Si,2.Universidad,Casado/a,38,4203.6571,0.0,1,0.13961,30-40
141,108396,Si,3.Pos-graduacion,Soltero/a,32,17185.8847,17185.8847,0,0.1585472222222222,30-40
142,39143,Si,2.Universidad,Casado/a,34,1624.7356,1624.7356,0,0.04150769230769231,30-40
143,93341,No,3.Pos-graduacion,Soltero/a,32,18712.4617,3017.022,0,0.2004741935483871,30-40
144,18066,Si,3.Pos-graduacion,Soltero/a,27,6126.4817,404.0762,0,0.3391166666666667,20-30
145,54198,Si,3.Pos-graduacion,Soltero/a,24,6650.3957,6650.3957,0,0.12270555555555555,20-30
146,15055,No,2.Universidad,Casado/a,36,5454.1254,602.2,0,0.36228,30-40
147,15055,Si,3.Pos-graduacion,Soltero/a,24,11197.3068,572.09,0,0.74376,20-30
148,6022,Si,3.Pos-graduacion,Soltero/a,22,5855.1906,451.65,0,0.9722999999999999,20-30
149,150550,Si,3.Pos-graduacion,Casado/a,34,41.5518,41.5518,0,0.000276,30-40
150,9033,Si,1.Colegio,Soltero/a,22,8808.9816,301.1,0,0.9752,20-30
151,42154,No,3.Pos-graduacion,Soltero/a,31,8219.7289,7527.5,0,0.19499285714285713,30-40
152,42154,Si,3.Pos-graduacion,Soltero/a,26,5419.8,3011.0,0,0.1285714285714286,20-30
153,36132,No,2.Universidad,Soltero/a,26,33295.0358,1505.5,0,0.9214833333333333,20-30
154,108396,Si,2.Universidad,Casado/a,48,69818.4658,2740.01,0,0.6441055555555556,40-50
155,30110,No,3.Pos-graduacion,Casado/a,47,443.5203,443.5203,0,0.01473,40-50
156,63231,Si,2.Universidad,Casado/a,41,477.5446,477.5446,0,0.007552380952380953,40-50
157,99363,Si,3.Pos-graduacion,Casado/a,50,1305.8707,1305.8707,0,0.013142424242424242,40-50
158,66242,No,3.Pos-graduacion,Soltero/a,24,32794.9087,1505.5,0,0.4950772727272727,20-30
159,12044,Si,1.Colegio,Casado/a,43,11713.0911,511.87,0,0.972525,40-50
160,9033,No,2.Universidad,Soltero/a,39,8463.3188,914.1396,0,0.9369333333333333,30-40
161,141517,No,2.Universidad,Soltero/a,27,91329.652,3914.3,0,0.6453617021276596,20-30
162,9033,No,1.Colegio,Casado/a,42,117.429,117.429,0,0.013,40-50
163,24088,No,2.Universidad,Soltero/a,36,23636.6511,933.41,0,0.9812624999999999,30-40
164,93341,Si,3.Pos-graduacion,Soltero/a,38,1367.5962,1367.5962,0,0.014651612903225806,30-40
165,108396,Si,3.Pos-graduacion,Casado/a,40,34767.4148,3613.2,0,0.32074444444444444,30-40
166,90330,Si,2.Universidad,Soltero/a,35,89507.3948,3618.9209,0,0.9908933333333333,30-40
167,96352,Si,2.Universidad,Soltero/a,33,28314.5407,3023.6462,0,0.293865625,30-40
168,51187,Si,3.Pos-graduacion,Soltero/a,28,39504.0189,1966.183,0,0.7717588235294118,20-30
169,105385,No,1.Colegio,Casado/a,44,808.7546,808.7546,0,0.007674285714285714,40-50
170,6022,No,2.Universidad,Casado/a,37,4971.4621,484.4699,0,0.82555,30-40
171,15055,No,2.Universidad,Soltero/a,23,14590.1016,722.9411,0,0.96912,20-30
172,6022,Si,1.Colegio,Soltero/a,24,5469.4815,0.0,1,0.90825,20-30
173,15055,Si,3.Pos-graduacion,Soltero/a,24,10778.1756,629.299,0,0.71592,20-30
174,57209,No,2.Universidad,Soltero/a,34,39559.4213,1505.5,0,0.6914894736842105,30-40
175,18066,Si,2.Universidad,Casado/a,33,10950.1037,453.4566,0,0.6061166666666666,30-40
176,24088,No,3.Pos-graduacion,Soltero/a,35,1197.4747,1197.4747,0,0.0497125,30-40
177,45165,Si,2.Universidad,Soltero/a,27,33136.055,1354.95,0,0.7336666666666667,20-30
178,72264,Si,1.Colegio,Casado/a,50,69755.5359,3045.9276,0,0.9652875000000001,40-50
179,15055,No,3.Pos-graduacion,Soltero/a,39,14444.9714,541.98,0,0.95948,30-40
180,54198,Si,3.Pos-graduacion,Soltero/a,32,1762.3383,849.4031,0,0.032516666666666666,30-40
181,9033,Si,3.Pos-graduacion,Soltero/a,40,64.7365,64.7365,0,0.0071666666666666675,30-40
182,75275,Si,2.Universidad,Casado/a,75,491.0941,491.0941,0,0.006524,50+
183,30110,Si,2.Universidad,Soltero/a,27,10375.0027,538.3668,0,0.34457,20-30
184,99363,No,3.Pos-graduacion,Soltero/a,25,13784.6591,753.9544,0,0.13873030303030304,20-30
185,15055,No,1.Colegio,Casado/a,46,4634.5312,470.0171,0,0.30784,40-50
186,9033,No,2.Universidad,Soltero/a,28,8884.5577,1507.3066,0,0.9835666666666666,20-30
187,42154,Si,2.Universidad,Soltero/a,26,31689.5706,1615.7026,0,0.7517571428571428,20-30
188,48176,Si,3.Pos-graduacion,Soltero/a,28,14386.2569,2120.3462,0,0.29861875,20-30
189,120440,Si,2.Universidad,Soltero/a,29,1119.7909,941.5397,0,0.0092975,20-30
190,15055,No,2.Universidad,Casado/a,25,8585.2643,471.2215,0,0.5702600000000001,20-30
191,42154,Si,2.Universidad,Casado/a,48,371.2563,371.2563,0,0.008807142857142857,40-50
192,48176,Si,2.Universidad,Casado/a,33,738.5983,738.5983,0,0.01533125,30-40
193,66242,No,3.Pos-graduacion,Casado/a,48,64291.4742,3011.0,0,0.9705545454545454,40-50
194,153561,Si,3.Pos-graduacion,Soltero/a,29,29933.5554,12047.011,0,0.19492941176470588,20-30
195,15055,No,2.Universidad,Soltero/a,29,10568.61,482.3622,0,0.7020000000000001,20-30
196,48176,Si,3.Pos-graduacion,Casado/a,38,1404.3304,1404.3304,0,0.029150000000000002,30-40
197,24088,Si,3.Pos-graduacion,Soltero/a,37,74.9739,74.9739,0,0.0031125,30-40
198,3011,No,1.Colegio,Soltero/a,23,2360.0218,341.4474,0,0.7837999999999999,20-30
199,39143,Si,1.Colegio,Soltero/a,49,27509.0982,1234.51,0,0.7027846153846153,40-50
200,12044,Si,3.Pos-graduacion,Soltero/a,48,10372.5939,481.76,0,0.861225,40-50
201,15055,No,2.Universidad,Soltero/a,27,4480.368,511.87,0,0.29760000000000003,20-30
202,30110,No,1.Colegio,Soltero/a,32,9498.1995,612.7385,0,0.31545,30-40
203,36132,No,3.Pos-graduacion,Casado/a,34,190.2952,0.0,1,0.005266666666666667,30-40
204,60220,Si,2.Universidad,Soltero/a,33,3869.7372,602.2,0,0.06426,30-40
205,21077,Si,2.Universidad,Soltero/a,36,20812.032,1349.8313,0,0.9874285714285714,30-40
206,15055,Si,3.Pos-graduacion,Soltero/a,26,95.1476,95.1476,0,0.00632,20-30
207,75275,Si,2.Universidad,Casado/a,31,30891.0534,1204.4,0,0.410376,30-40
208,9033,Si,3.Pos-graduacion,Soltero/a,27,740.1038,301.1,0,0.08193333333333333,20-30
209,81297,No,2.Universidad,Casado/a,44,32876.8079,3029.9693,0,0.4044037037037037,40-50
210,54198,Si,1.Colegio,Soltero/a,30,46114.0672,2325.0942,0,0.8508444444444444,20-30
211,30110,Si,3.Pos-graduacion,Soltero/a,28,15854.7216,1256.4903,0,0.52656,20-30
212,69253,Si,1.Colegio,Casado/a,32,26720.5173,1505.5,0,0.38583913043478263,30-40
213,63231,Si,3.Pos-graduacion,Casado/a,46,12641.9846,12641.9846,0,0.19993333333333332,40-50
214,63231,No,3.Pos-graduacion,Soltero/a,38,18910.2844,986.4036,0,0.29906666666666665,30-40
215,132484,Si,2.Universidad,Casado/a,46,54666.8127,2592.471,0,0.4126295454545455,40-50
216,30110,Si,2.Universidad,Soltero/a,25,21582.2458,1045.4192,0,0.71678,20-30
217,72264,Si,2.Universidad,Casado/a,46,2980.89,389.9245,0,0.041249999999999995,40-50
218,84308,No,3.Pos-graduacion,Soltero/a,33,270.3878,270.3878,0,0.0032071428571428576,30-40
219,9033,No,2.Universidad,Casado/a,43,785.871,331.21,0,0.087,40-50
220,60220,No,3.Pos-graduacion,Soltero/a,31,59420.2784,2709.9,0,0.98672,30-40
221,36132,Si,2.Universidad,Casado/a,29,197.8227,197.8227,0,0.005475,20-30
222,63231,Si,2.Universidad,Casado/a,36,43056.0956,1952.0313,0,0.6809333333333334,30-40
223,84308,Si,3.Pos-graduacion,Casado/a,36,18303.2668,829.5305,0,0.21710000000000002,30-40
224,30110,No,2.Universidad,Soltero/a,37,29574.6442,1050.839,0,0.98222,30-40
225,60220,Si,3.Pos-graduacion,Soltero/a,27,200.2315,200.2315,0,0.0033250000000000003,20-30
226,33121,Si,2.Universidad,Soltero/a,26,969.542,969.542,0,0.029272727272727273,20-30
227,9033,No,1.Colegio,Casado/a,55,3195.5743,361.32,0,0.3537666666666667,50+
228,18066,Si,3.Pos-graduacion,Soltero/a,27,4155.4811,4155.4811,0,0.23001666666666667,20-30
229,120440,Si,2.Universidad,Casado/a,38,1083.96,301.1,0,0.009000000000000001,30-40
230,54198,Si,2.Universidad,Casado/a,34,44060.8663,2107.7,0,0.8129611111111111,30-40
231,6022,No,3.Pos-graduacion,Soltero/a,40,4136.5118,903.3,0,0.6869000000000001,30-40
232,60220,Si,1.Colegio,Casado/a,49,15368.144,0.0,1,0.2552,40-50
233,30110,No,3.Pos-graduacion,Soltero/a,27,15824.9127,491.0941,0,0.52557,20-30
234,18066,No,2.Universidad,Soltero/a,23,10021.2102,593.167,0,0.5547,20-30
235,33121,Si,2.Universidad,Soltero/a,36,14737.9417,662.42,0,0.44497272727272724,30-40
236,78286,Si,1.Colegio,Casado/a,53,49.6815,49.6815,0,0.0006346153846153846,50+
237,33121,No,2.Universidad,Soltero/a,29,17041.6578,752.75,0,0.5145272727272727,20-30
238,102374,Si,3.Pos-graduacion,Soltero/a,27,54240.154,6354.7155,0,0.5298235294117647,20-30
239,15055,No,2.Universidad,Soltero/a,24,734.9851,322.177,0,0.04882,20-30
240,69253,Si,2.Universidad,Casado/a,28,5668.5086,514.881,0,0.08185217391304347,20-30
241,108396,Si,2.Universidad,Soltero/a,32,28319.6594,3011.0,0,0.2612611111111111,30-40
242,66242,Si,2.Universidad,Casado/a,41,195.715,97.8575,0,0.0029545454545454545,40-50
243,18066,Si,2.Universidad,Casado/a,34,8423.5736,1144.18,0,0.46626666666666666,30-40
244,102374,No,2.Universidad,Casado/a,55,13448.6315,13448.6315,0,0.13136764705882353,50+
245,45165,No,3.Pos-graduacion,Casado/a,40,30888.6446,1565.72,0,0.6839066666666667,30-40
246,60220,Si,2.Universidad,Casado/a,37,152.0555,152.0555,0,0.002525,30-40
247,39143,Si,2.Universidad,Soltero/a,40,3731.8334,903.3,0,0.09533846153846154,30-40
248,18066,Si,3.Pos-graduacion,Soltero/a,28,3080.8552,0.0,1,0.17053333333333334,20-30
249,57209,Si,3.Pos-graduacion,Soltero/a,28,44244.5373,1744.8745,0,0.7733842105263159,20-30
250,78286,Si,3.Pos-graduacion,Soltero/a,30,48250.0706,3011.0,0,0.6163307692307692,20-30
251,15055,Si,2.Universidad,Casado/a,31,14367.2876,594.3714,0,0.95432,30-40
252,36132,Si,3.Pos-graduacion,Soltero/a,34,1966.4841,1966.4841,0,0.054424999999999994,30-40
253,72264,Si,2.Universidad,Soltero/a,30,27.7012,27.7012,0,0.00038333333333333334,20-30
254,15055,No,2.Universidad,Soltero/a,36,1858.3892,364.9332,0,0.12344000000000001,30-40
255,60220,Si,3.Pos-graduacion,Soltero/a,29,55.1013,0.0,1,0.000915,20-30
256,54198,Si,3.Pos-graduacion,Soltero/a,26,41621.6552,1637.984,0,0.7679555555555556,20-30
257,30110,Si,2.Universidad,Soltero/a,26,1262.2112,1262.2112,0,0.04192,20-30
258,9033,Si,2.Universidad,Soltero/a,26,5724.5132,424.8521,0,0.6337333333333334,20-30
259,27099,No,3.Pos-graduacion,Soltero/a,26,6164.4203,463.9951,0,0.22747777777777778,20-30
260,24088,Si,2.Universidad,Soltero/a,43,23516.5122,956.5947,0,0.976275,40-50
261,15055,No,1.Colegio,Casado/a,58,5636.592,1023.74,0,0.37439999999999996,50+
262,54198,No,2.Universidad,Casado/a,45,8557.8642,445.9291,0,0.1579,40-50
263,72264,Si,2.Universidad,Soltero/a,26,38823.834,1911.6839,0,0.53725,20-30
264,114418,No,2.Universidad,Soltero/a,34,53958.9266,2712.911,0,0.47159473684210523,30-40
265,78286,No,3.Pos-graduacion,Casado/a,34,87.6201,87.6201,0,0.001119230769230769,30-40
266,96352,Si,2.Universidad,Soltero/a,30,21423.5661,779.5479,0,0.222346875,20-30
267,15055,No,2.Universidad,Soltero/a,32,13471.5151,0.0,1,0.8948200000000001,30-40
268,69253,Si,3.Pos-graduacion,Soltero/a,35,90.33,90.33,0,0.0013043478260869564,30-40
269,99363,Si,2.Universidad,Casado/a,56,457.672,457.672,0,0.004606060606060607,50+
270,3011,No,2.Universidad,Soltero/a,24,579.0153,0.0,1,0.1923,20-30
271,48176,No,3.Pos-graduacion,Soltero/a,30,896.3747,896.3747,0,0.018606249999999998,20-30
272,27099,Si,3.Pos-graduacion,Soltero/a,34,10565.2979,493.804,0,0.38987777777777777,30-40
273,54198,No,3.Pos-graduacion,Casado/a,46,52569.049,2438.91,0,0.9699444444444444,40-50
274,9033,No,1.Colegio,Casado/a,58,6072.5848,493.804,0,0.6722666666666667,50+
275,9033,No,2.Universidad,Casado/a,43,5992.1911,0.0,1,0.6633666666666667,40-50
276,42154,Si,3.Pos-graduacion,Soltero/a,28,4349.6906,4215.4,0,0.10318571428571428,20-30
277,63231,No,3.Pos-graduacion,Soltero/a,30,21650.8966,1053.85,0,0.34240952380952383,20-30
278,15055,No,2.Universidad,Soltero/a,31,4555.3419,602.2,0,0.30258,30-40
279,39143,Si,2.Universidad,Soltero/a,29,27333.858,1264.62,0,0.6983076923076923,20-30
280,15055,Si,2.Universidad,Casado/a,37,963.52,451.65,0,0.064,30-40
281,42154,No,1.Colegio,Casado/a,36,23597.8092,903.3,0,0.5598,30-40
282,51187,Si,2.Universidad,Soltero/a,28,1158.6328,332.7155,0,0.02263529411764706,20-30
283,24088,No,2.Universidad,Soltero/a,25,9463.2719,3014.011,0,0.3928625,20-30
284,24088,No,1.Colegio,Casado/a,73,19761.4941,1053.85,0,0.8203875,50+
